"Mass"	"Intensity"
"1172"	104.4	15.9949
"1173"	104.46	0
"1174"	104.52	0
"1175"	104.59	0
"1176"	104.65	0
"1177"	104.71	0
"1178"	104.77	0
"1179"	104.84	0
"1180"	104.9	0
"1181"	104.96	2.66581
"1182"	105.02	2.66581
"1183"	105.09	0
"1184"	105.15	0
"1185"	105.21	0
"1186"	105.27	0
"1187"	105.34	0
"1188"	105.4	0
"1189"	105.46	0
"1190"	105.52	0
"1191"	105.59	0
"1192"	105.65	0
"1193"	105.71	0
"1194"	105.77	0
"1195"	105.84	0
"1196"	105.9	0
"1197"	105.96	0
"1198"	106.02	0
"1199"	106.09	0
"1200"	106.15	0
"1201"	106.21	0
"1202"	106.27	0
"1203"	106.34	0
"1204"	106.4	0
"1205"	106.46	0
"1206"	106.52	0
"1207"	106.59	0
"1208"	106.65	0
"1209"	106.71	0
"1210"	106.77	0
"1211"	106.84	0
"1212"	106.9	0
"1213"	106.96	0
"1214"	107.02	0
"1215"	107.09	0
"1216"	107.15	0
"1217"	107.21	0
"1218"	107.27	0
"1219"	107.34	0
"1220"	107.4	0
"1221"	107.46	0
"1222"	107.52	0
"1223"	107.59	0
"1224"	107.65	2.66581
"1225"	107.71	0
"1226"	107.77	0
"1227"	107.84	0
"1228"	107.9	0
"1229"	107.96	0
"1230"	108.02	0
"1231"	108.09	0
"1232"	108.15	0
"1233"	108.21	0
"1234"	108.27	0
"1235"	108.34	0
"1236"	108.4	0
"1237"	108.46	0
"1238"	108.52	0
"1239"	108.59	0
"1240"	108.65	0
"1241"	108.71	0
"1242"	108.77	0
"1243"	108.84	0
"1244"	108.9	0
"1245"	108.96	0
"1246"	109.02	0
"1247"	109.09	0
"1248"	109.15	0
"1249"	109.21	0
"1250"	109.27	0
"1251"	109.34	0
"1252"	109.4	0
"1253"	109.46	0
"1254"	109.52	0
"1255"	109.59	0
"1256"	109.65	0
"1257"	109.71	0
"1258"	109.77	0
"1259"	109.84	0
"1260"	109.9	0
