""	"ScanData"	"X1"
"767"	57.88	2.66581
"768"	57.94	10.6633
"769"	58	5.33163
"770"	58.06	2.66581
"771"	58.13	2.66581
"772"	58.19	5.33163
"773"	58.25	5.33163
"774"	58.31	5.33163
"775"	58.38	5.33163
"776"	58.44	7.99744
"777"	58.5	2.66581
"778"	58.56	5.33163
"779"	58.63	0
"780"	58.69	0
"781"	58.75	2.66581
"782"	58.81	5.33163
"783"	58.88	0
"784"	58.94	0
"785"	59	0
"786"	59.06	0
"787"	59.13	5.33163
"788"	59.19	13.3291
"789"	59.25	2.66581
"790"	59.31	0
"791"	59.38	7.99744
"792"	59.44	0
"793"	59.5	0
"794"	59.56	2.66581
"795"	59.63	0
"796"	59.69	2.66581
"797"	59.75	5.33163
"798"	59.81	0
"799"	59.88	0
"800"	59.94	2.66581
"801"	60	5.33163
"802"	60.06	0
"803"	60.13	5.33163
"804"	60.19	0
"805"	60.25	0
"806"	60.31	0
"807"	60.38	0
"808"	60.44	0
"809"	60.5	5.33163
"810"	60.56	7.99744
"811"	60.63	0
"812"	60.69	0
"813"	60.75	2.66581
"814"	60.81	2.66581
"815"	60.88	5.33163
"816"	60.94	0
"817"	61	5.33163
"818"	61.06	5.33163
"819"	61.13	0
"820"	61.19	5.33163
"821"	61.25	5.33163
"822"	61.31	18.6607
"823"	61.38	2.66581
"824"	61.44	2.66581
"825"	61.5	0
"826"	61.56	0
"827"	61.63	0
"828"	61.69	0
"829"	61.75	0
"830"	61.81	0
"831"	61.88	0
"832"	61.94	0
"833"	62	0
"834"	62.06	5.33163
"835"	62.13	0
"836"	62.19	0
"837"	62.25	0
"838"	62.31	0
"839"	62.38	0
"840"	62.44	0
"841"	62.5	0
"842"	62.56	0
"843"	62.63	0
"844"	62.69	0
"845"	62.75	0
"846"	62.81	0
"847"	62.88	0
"848"	62.94	0
"849"	63	0
"850"	63.06	0
"851"	63.13	0
"852"	63.19	0
"853"	63.25	0
"854"	63.31	0
"855"	63.38	0
"856"	63.44	10.6633
"857"	63.5	15.9949
"858"	63.56	0
"859"	63.63	0
"860"	63.69	7.99744
"861"	63.75	2.66581
"862"	63.81	5.33163
"863"	63.88	0
"864"	63.94	0
"865"	64	0
"866"	64.06	2.66581
"867"	64.13	0
"868"	64.19	0
"869"	64.25	0
"870"	64.31	0
"871"	64.38	0
"872"	64.44	0
"873"	64.5	5.33163
"874"	64.56	0
"875"	64.63	0
"876"	64.69	0
"877"	64.75	0
"878"	64.81	0
"879"	64.88	0
"880"	64.94	0
"881"	65	0
"882"	65.06	0
"883"	65.13	0
"884"	65.19	0
"885"	65.25	0
"886"	65.31	0
"887"	65.38	0
"888"	65.44	0
"889"	65.5	0
"890"	65.56	0
"891"	65.63	0
"892"	65.69	0
"893"	65.75	0
"894"	65.81	0
"895"	65.88	0
"896"	65.94	0
"897"	66	0
"898"	66.06	0
"899"	66.13	0
"900"	66.19	0
"901"	66.25	0
"902"	66.31	0
"903"	66.38	0
"904"	66.44	0
"905"	66.5	0
"906"	66.56	0
"907"	66.63	0
"908"	66.69	0
"909"	66.75	0
"910"	66.81	0
"911"	66.88	0
"912"	66.94	0
"913"	67	0
"914"	67.06	0
"915"	67.13	0
"916"	67.19	0
"917"	67.25	0
"918"	67.31	0
"919"	67.38	0
"920"	67.44	0
"921"	67.5	0
"922"	67.56	0
"923"	67.63	0
"924"	67.69	0
"925"	67.75	0
"926"	67.81	0
"927"	67.88	0
"928"	67.94	0
"929"	68	0
"930"	68.06	0
"931"	68.13	0
"932"	68.19	0
"933"	68.25	0
"934"	68.31	0
"935"	68.38	0
"936"	68.44	0
"937"	68.5	0
"938"	68.56	0
"939"	68.63	0
"940"	68.69	2.66581
"941"	68.75	0
"942"	68.81	0
"943"	68.88	0
"944"	68.94	0
"945"	69	0
"946"	69.06	0
"947"	69.13	0
"948"	69.19	0
"949"	69.25	0
"950"	69.31	5.33163
"951"	69.38	0
"952"	69.44	5.33163
"953"	69.5	2.66581
"954"	69.56	0
"955"	69.63	2.66581
"956"	69.69	0
"957"	69.75	0
"958"	69.81	0
"959"	69.88	2.66581
"960"	69.94	2.66581
"961"	70	0
"962"	70.06	0
"963"	70.13	0
"964"	70.19	2.66581
"965"	70.25	0
"966"	70.31	0
"967"	70.38	0
"968"	70.44	0
"969"	70.5	0
"970"	70.56	0
"971"	70.63	0
